         936424 function calls (912869 primitive calls) in 7.781 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _regex_core.py:30(error)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3035(LookAroundConditional)
        1    0.000    0.000    0.000    0.000 _regex_core.py:308(_check_firstset)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3124(PrecompiledCode)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3131(Property)
        6    0.000    0.000    0.000    0.000 _regex_core.py:3138(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3183(Prune)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3189(Range)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3266(RefGroup)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3312(SearchAnchor)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3316(Sequence)
        3    0.000    0.000    0.000    0.000 _regex_core.py:3317(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3324(fix_groups)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3328(optimise)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3340(pack_characters)
        2    0.000    0.000    0.000    0.000 _regex_core.py:339(_flatten_code)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3391(get_firstset)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3404(has_simple_start)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3407(_compile)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3422(_flush_characters)
        1    0.000    0.000    0.000    0.000 _regex_core.py:347(make_case_flags)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3514(get_required_string)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3529(SetBase)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3631(SetDiff)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3657(SetInter)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3687(SetSymDiff)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3720(SetUnion)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3786(Skip)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3790(StartOfLine)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3794(StartOfLineU)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3798(StartOfString)
        1    0.000    0.000    0.000    0.000 _regex_core.py:380(_parse_pattern)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3802(StartOfWord)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3806(String)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3861(Literal)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3868(StringSet)
        1    0.000    0.000    0.000    0.000 _regex_core.py:390(parse_sequence)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3965(Source)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3967(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:3979(get)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4122(match)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4165(at_end)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4187(Info)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4190(__init__)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4252(_check_group_features)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4291(_get_required_string)
        1    0.000    0.000    0.000    0.000 _regex_core.py:4312(Scanner)
        1    0.000    0.000    0.000    0.000 _regex_core.py:497(append_literal)
        1    0.000    0.000    0.000    0.000 _regex_core.py:50(_UnscopedFlagSet)
        1    0.000    0.000    0.000    0.000 _regex_core.py:54(ParseError)
        1    0.000    0.000    0.000    0.000 _regex_core.py:58(_FirstSetError)
        1    0.000    0.000    0.000    0.000 _regex_core.py:722(parse_literal_and_element)
        1    0.000    0.000    0.037    0.037 _root.py:7(<module>)
        1    0.000    0.000    0.000    0.000 _search.py:1061(RandomizedSearchCV)
        1    0.000    0.000    0.000    0.000 _search.py:167(ParameterSampler)
        1    0.000    0.000    0.000    0.000 _search.py:363(_CVScoreTuple)
        1    0.000    0.000    0.000    0.000 _search.py:385(BaseSearchCV)
        1    0.000    0.000    0.003    0.003 _search.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _search.py:47(ParameterGrid)
        1    0.000    0.000    0.000    0.000 _search.py:764(GridSearchCV)
        1    0.000    0.000    0.000    0.000 _signatures.py:1(<module>)
        1    0.006    0.006    0.006    0.006 _signatures.py:14(<module>)
        1    0.000    0.000    0.030    0.030 _signatures.py:161(update_signature_registry)
      275    0.001    0.000    0.007    0.000 _signatures.py:623(num_pos_args)
      695    0.003    0.000    0.005    0.000 _signatures.py:625(<genexpr>)
      306    0.003    0.000    0.007    0.000 _signatures.py:629(get_exclude_keywords)
      729    0.002    0.000    0.003    0.000 _signatures.py:633(<genexpr>)
       13    0.000    0.000    0.000    0.000 _signatures.py:638(<genexpr>)
      307    0.001    0.000    0.086    0.000 _signatures.py:640(signature_or_spec)
      306    0.005    0.000    0.105    0.000 _signatures.py:669(expand_sig)
        2    0.003    0.001    0.110    0.055 _signatures.py:706(create_signature_registry)
      572    0.002    0.000    0.106    0.000 _signatures.py:712(<genexpr>)
        1    0.000    0.000    0.000    0.000 _six.py:22(<module>)
        1    0.000    0.000    0.000    0.000 _six.py:22(with_metaclass)
        1    0.000    0.000    0.000    0.000 _six.py:27(metaclass)
        1    0.000    0.000    0.000    0.000 _six.py:29(__new__)
        1    0.000    0.000    0.000    0.000 _solvers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _spectral.py:13(_NoConvergence)
        1    0.000    0.000    0.000    0.000 _spectral.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _spherical_bessel.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _spherical_voronoi.py:6(<module>)
        1    0.000    0.000    0.000    0.000 _spherical_voronoi.py:82(SphericalVoronoi)
        1    0.000    0.000    0.000    0.000 _split.py:1060(RepeatedKFold)
        1    0.000    0.000    0.000    0.000 _split.py:1107(RepeatedStratifiedKFold)
        1    0.000    0.000    0.000    0.000 _split.py:1154(BaseShuffleSplit)
        1    0.000    0.000    0.000    0.000 _split.py:1228(ShuffleSplit)
        1    0.000    0.000    0.000    0.000 _split.py:124(LeaveOneOut)
        1    0.000    0.000    0.000    0.000 _split.py:1306(GroupShuffleSplit)
        1    0.000    0.000    0.000    0.000 _split.py:1457(StratifiedShuffleSplit)
        1    0.000    0.000    0.000    0.000 _split.py:1706(PredefinedSplit)
        1    0.000    0.000    0.000    0.000 _split.py:1798(_CVIterableWrapper)
        1    0.000    0.000    0.000    0.000 _split.py:198(LeavePOut)
        1    0.000    0.000    0.000    0.000 _split.py:269(_BaseKFold)
        1    0.000    0.000    0.000    0.000 _split.py:357(KFold)
        1    0.001    0.001    0.004    0.004 _split.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _split.py:437(GroupKFold)
        1    0.000    0.000    0.000    0.000 _split.py:52(BaseCrossValidator)
        1    0.000    0.000    0.000    0.000 _split.py:525(StratifiedKFold)
        1    0.000    0.000    0.000    0.000 _split.py:668(TimeSeriesSplit)
        1    0.000    0.000    0.000    0.000 _split.py:773(LeaveOneGroupOut)
        1    0.000    0.000    0.000    0.000 _split.py:855(LeavePGroupsOut)
        1    0.000    0.000    0.000    0.000 _split.py:959(_RepeatedSplits)
        1    0.000    0.000    0.001    0.001 _stats_mstats_common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _storage_docs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _storage_docs.py:18(add_docstr_all)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:14(TeletexCodec)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:23(TeletexIncrementalEncoder)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:29(TeletexIncrementalDecoder)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:35(TeletexStreamWriter)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:40(TeletexStreamReader)
        3    0.000    0.000    0.000    0.000 _teletex_codec.py:45(teletex_search_function)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:64(register)
        1    0.000    0.000    0.000    0.000 _teletex_codec.py:7(<module>)
        1    0.001    0.001    0.011    0.011 _tensor_docs.py:1(<module>)
      198    0.007    0.000    0.009    0.000 _tensor_docs.py:18(add_docstr_all)
        1    0.000    0.000    0.000    0.000 _tensor_str.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tensor_str.py:7(__PrinterOptions)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:11(ReentrancyError)
        1    0.000    0.000    0.000    0.000 _threadsafety.py:15(ReentrancyLock)
        7    0.000    0.000    0.000    0.000 _threadsafety.py:27(__init__)
        6    0.000    0.000    0.008    0.001 _threadsafety.py:43(decorate)
        6    0.000    0.000    0.000    0.000 _threadsafety.py:50(non_reentrant)
        6    0.000    0.000    0.008    0.001 _threadsafety.py:54(decorator)
        1    0.000    0.000    0.018    0.018 _tokenizer.py:1(<module>)
        1    0.001    0.001    0.001    0.001 _tokenizer.py:21(HTMLTokenizer)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _tqdm.py:161(tqdm)
        1    0.000    0.000    0.000    0.000 _tqdm.py:34(TqdmTypeError)
        1    0.000    0.000    0.000    0.000 _tqdm.py:38(TqdmKeyError)
        1    0.000    0.000    0.000    0.000 _tqdm.py:42(TqdmDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _tqdm.py:61(TqdmDefaultWriteLock)
        1    0.000    0.000    0.000    0.000 _tqdm.py:68(__init__)
        1    0.000    0.000    0.000    0.000 _tqdm.py:70(<listcomp>)
        1    0.000    0.000    0.000    0.000 _tqdm.py:87(TMonitor)
        1    0.000    0.000    0.004    0.004 _tqdm.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _tqdm_gui.py:25(tqdm_gui)
        1    0.000    0.000    0.000    0.000 _tqdm_gui.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _tqdm_pandas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion.py:14(BaseQuadraticSubproblem)
        1    0.000    0.000    0.001    0.001 _trustregion_dogleg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_dogleg.py:40(DoglegSubproblem)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _trustregion_ncg.py:44(CGSteihaugSubproblem)
        1    0.000    0.000    0.000    0.000 _tukeylambda_stats.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _types.py:2(<module>)
        2    0.000    0.000    0.034    0.017 _util.py:1(<module>)
        8    0.000    0.000    0.000    0.000 _util.py:128(_prune_array)
        1    0.000    0.000    0.000    0.000 _util.py:138(DeprecatedImport)
        2    0.000    0.000    0.000    0.000 _util.py:156(__init__)
      117    0.000    0.000    0.000    0.000 _util.py:173(check_random_state)
      331    0.012    0.000    0.175    0.001 _util.py:269(getargspec_no_self)
      331    0.003    0.000    0.004    0.000 _util.py:292(<listcomp>)
      331    0.002    0.000    0.003    0.000 _util.py:296(<listcomp>)
      331    0.002    0.000    0.003    0.000 _util.py:301(<listcomp>)
      331    0.003    0.000    0.005    0.000 _util.py:306(<listcomp>)
        2    0.000    0.000    0.000    0.000 _util.py:57(make_assert)
        1    0.000    0.000    0.000    0.000 _util.py:62(openssl_assert)
        3    0.000    0.000    0.018    0.006 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:115(memoize)
        1    0.000    0.000    0.000    0.000 _utils.py:36(MethodDispatcher)
        5    0.000    0.000    0.000    0.000 _utils.py:7(<genexpr>)
        2    0.000    0.000    0.000    0.000 _utils.py:80(_import_dotted_name)
        1    0.000    0.000    0.003    0.003 _validation.py:1(<module>)
        1    0.001    0.001    0.032    0.032 _validation.py:4(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:1(<module>)
        6    0.000    0.000    0.003    0.001 _version.py:114(_compare)
        1    0.000    0.000    0.000    0.000 _version.py:136(__lt__)
        2    0.000    0.000    0.003    0.001 _version.py:148(__gt__)
        3    0.000    0.000    0.000    0.000 _version.py:151(__ge__)
        1    0.000    0.000    0.000    0.000 _version.py:17(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        1    0.000    0.000    0.000    0.000 _version.py:2(<module>)
       12    0.001    0.000    0.006    0.001 _version.py:55(__init__)
       12    0.000    0.000    0.000    0.000 _version.py:62(<listcomp>)
        2    0.000    0.000    0.002    0.001 _version.py:7(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:70(<listcomp>)
        6    0.000    0.000    0.000    0.000 _version.py:78(_compare_version)
      239    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
      239    0.001    0.000    0.001    0.000 _weakrefset.py:20(__enter__)
      239    0.002    0.000    0.003    0.000 _weakrefset.py:26(__exit__)
     1631    0.014    0.000    0.014    0.000 _weakrefset.py:36(__init__)
      239    0.001    0.000    0.001    0.000 _weakrefset.py:52(_commit_removals)
      761    0.004    0.000    0.008    0.000 _weakrefset.py:58(__iter__)
      421    0.002    0.000    0.002    0.000 _weakrefset.py:70(__contains__)
      393    0.001    0.000    0.001    0.000 _weakrefset.py:81(add)
      471    0.021    0.000    0.068    0.000 abc.py:132(__new__)
      471    0.012    0.000    0.016    0.000 abc.py:135(<setcomp>)
      162    0.001    0.000    0.026    0.000 abc.py:151(register)
       74    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
  287/170    0.009    0.000    0.025    0.000 abc.py:194(__subclasscheck__)
        1    0.000    0.000    0.000    0.000 abc.py:241(get_cache_token)
      225    0.000    0.000    0.000    0.000 abc.py:9(abstractmethod)
        1    0.000    0.000    0.000    0.000 about.py:5(<module>)
        1    0.000    0.000    0.000    0.000 about.py:6(<module>)
        3    0.000    0.000    0.002    0.001 activation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 activation.py:101(Hardtanh)
        1    0.000    0.000    0.000    0.000 activation.py:117(RReLU)
        1    0.000    0.000    0.000    0.000 activation.py:158(ReLU6)
        1    0.000    0.000    0.000    0.000 activation.py:164(SELU)
        1    0.000    0.000    0.000    0.000 activation.py:186(Sigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:209(Tanh)
        1    0.000    0.000    0.000    0.000 activation.py:210(Softmin)
        1    0.000    0.000    0.000    0.000 activation.py:233(ELU)
        1    0.000    0.000    0.000    0.000 activation.py:269(SELU)
        1    0.000    0.000    0.000    0.000 activation.py:307(GLU)
        1    0.000    0.000    0.000    0.000 activation.py:339(Hardshrink)
        1    0.000    0.000    0.000    0.000 activation.py:35(PReLUBackward)
        1    0.000    0.000    0.000    0.000 activation.py:35(__init__)
        1    0.000    0.000    0.000    0.000 activation.py:374(LeakyReLU)
        1    0.000    0.000    0.000    0.000 activation.py:4(Softsign)
        1    0.000    0.000    0.000    0.000 activation.py:410(LogSigmoid)
        1    0.000    0.000    0.000    0.000 activation.py:433(Softplus)
        1    0.000    0.000    0.000    0.000 activation.py:473(Softshrink)
        1    0.000    0.000    0.000    0.000 activation.py:509(PReLU)
        1    0.000    0.000    0.000    0.000 activation.py:53(ReLU)
        1    0.000    0.000    0.000    0.000 activation.py:550(Softsign)
        1    0.000    0.000    0.000    0.000 activation.py:573(Tanhshrink)
        1    0.000    0.000    0.000    0.000 activation.py:596(Softmin)
        1    0.000    0.000    0.000    0.000 activation.py:628(Softmax)
        1    0.000    0.000    0.000    0.000 activation.py:665(Softmax2d)
        1    0.000    0.000    0.000    0.000 activation.py:697(LogSoftmax)
        1    0.000    0.000    0.000    0.000 activation.py:73(__init__)
        1    0.000    0.000    0.000    0.000 activation.py:82(RReLU)
        1    0.000    0.000    0.000    0.000 activation.py:9(PReLU)
        1    0.000    0.000    0.000    0.000 activation.py:9(Threshold)
        1    0.000    0.000    0.000    0.000 activations.py:25(<module>)
        1    0.000    0.000    0.000    0.000 activations.py:32(Activation)
        2    0.000    0.000    0.000    0.000 activations.py:54(<lambda>)
        1    0.000    0.000    0.001    0.001 adadelta.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adadelta.py:4(Adadelta)
        1    0.000    0.000    0.000    0.000 adagrad.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adagrad.py:6(Adagrad)
        1    0.000    0.000    0.000    0.000 adam.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adam.py:5(Adam)
        1    0.000    0.000    0.000    0.000 adamax.py:1(<module>)
        1    0.000    0.000    0.000    0.000 adamax.py:5(Adamax)
        1    0.000    0.000    0.000    0.000 adapters.py:52(BaseAdapter)
        1    0.000    0.000    0.000    0.000 adapters.py:81(HTTPAdapter)
        1    0.000    0.000    0.005    0.005 adapters.py:9(<module>)
        1    0.000    0.000    0.005    0.005 adaptive_iterator.py:1(<module>)
        1    0.000    0.000    0.005    0.005 adaptive_iterator.py:16(AdaptiveIterator)
        1    0.004    0.004    0.166    0.166 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 aead.py:5(<module>)
        1    0.000    0.000    0.002    0.002 affine.py:1(<module>)
        1    0.000    0.000    0.001    0.001 affine.py:19(Affine)
        1    0.000    0.000    0.003    0.003 agreement.py:70(<module>)
        1    0.000    0.000    0.003    0.003 agreement.py:87(AnnotationTask)
        1    0.000    0.000    0.000    0.000 algorithms.py:101(ARC4)
        1    0.000    0.000    0.000    0.000 algorithms.py:114(IDEA)
        1    0.000    0.000    0.000    0.000 algorithms.py:128(SEED)
        1    0.000    0.000    0.000    0.000 algorithms.py:22(AES)
        1    0.000    0.000    0.000    0.000 algorithms.py:37(Camellia)
        1    0.000    0.000    0.002    0.002 algorithms.py:5(<module>)
        1    0.000    0.000    0.000    0.000 algorithms.py:52(TripleDES)
        1    0.000    0.000    0.000    0.000 algorithms.py:71(Blowfish)
        1    0.000    0.000    0.000    0.000 algorithms.py:86(CAST5)
        1    0.000    0.000    0.000    0.000 algos.py:106(HmacAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:1090(Pbes2Params)
        1    0.000    0.000    0.000    0.000 algos.py:1097(Pbmac1Params)
        1    0.000    0.000    0.000    0.000 algos.py:1104(Pkcs5MacId)
        1    0.000    0.000    0.000    0.000 algos.py:1110(Pkcs5MacAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:119(HmacAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:126(DigestAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:140(DigestAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:148(DigestInfo)
        1    0.000    0.000    0.000    0.000 algos.py:155(MaskGenAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:161(MaskGenAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:173(TrailerField)
        1    0.000    0.000    0.000    0.000 algos.py:179(RSASSAPSSParams)
        1    0.000    0.000    0.013    0.013 algos.py:18(<module>)
        1    0.000    0.000    0.000    0.000 algos.py:223(SignedDigestAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:275(SignedDigestAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:368(Pbkdf2Salt)
        1    0.000    0.000    0.000    0.000 algos.py:375(Pbkdf2Params)
        1    0.000    0.000    0.000    0.000 algos.py:384(KdfAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:390(KdfAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:401(DHParameters)
        1    0.000    0.000    0.000    0.000 algos.py:414(KeyExchangeAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:42(AlgorithmIdentifier)
        1    0.000    0.000    0.000    0.000 algos.py:420(KeyExchangeAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:431(Rc2Params)
        1    0.000    0.000    0.000    0.000 algos.py:438(Rc5ParamVersion)
        1    0.000    0.000    0.000    0.000 algos.py:444(Rc5Params)
        1    0.000    0.000    0.000    0.000 algos.py:453(Pbes1Params)
        1    0.000    0.000    0.000    0.000 algos.py:460(PSourceAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:466(PSourceAlgorithm)
        1    0.000    0.000    0.000    0.000 algos.py:478(RSAESOAEPParams)
        1    0.000    0.000    0.000    0.000 algos.py:49(_ForceNullParameters)
        1    0.000    0.000    0.000    0.000 algos.py:516(DSASignature)
        1    0.000    0.000    0.000    0.000 algos.py:567(EncryptionAlgorithmId)
        1    0.000    0.000    0.000    0.000 algos.py:619(EncryptionAlgorithm)
        1    0.000    0.000    0.000    0.000 aligned.py:17(AlignedCorpusReader)
        1    0.000    0.000    0.000    0.000 aligned.py:8(<module>)
        1    0.000    0.000    0.000    0.000 aligned.py:88(AlignedSentCorpusView)
        1    0.001    0.001    0.001    0.001 aline.py:39(<module>)
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        2    0.000    0.000    0.000    0.000 api.py:10(<module>)
        1    0.000    0.000    0.000    0.000 api.py:10(FunctionLayer)
        1    0.000    0.000    0.000    0.000 api.py:105(new_id)
        4    0.000    0.000    0.010    0.002 api.py:11(<module>)
        2    0.000    0.000    0.000    0.000 api.py:113(reset_id)
        1    0.000    0.000    0.001    0.001 api.py:12(<module>)
        1    0.000    0.000    0.000    0.000 api.py:124(ProverCommand)
        1    0.000    0.000    0.902    0.902 api.py:13(<module>)
       13    0.000    0.000    0.002    0.000 api.py:13(__init__)
        1    0.000    0.000    0.000    0.000 api.py:14(ClusterI)
        1    0.000    0.000    0.000    0.000 api.py:14(ParserI)
        1    0.000    0.000    0.000    0.000 api.py:14(StemmerI)
        1    0.000    0.000    0.000    0.000 api.py:150(Direction)
        1    0.000    0.000    0.000    0.000 api.py:151(ModelBuilderCommand)
        1    0.000    0.000    0.000    0.000 api.py:152(Alignment)
       18    0.000    0.000    0.000    0.000 api.py:158(__init__)
        1    0.000    0.000    0.000    0.000 api.py:17(AbstractCCGCategory)
        1    0.000    0.000    0.000    0.000 api.py:17(AlignedSent)
        1    0.000    0.000    0.000    0.000 api.py:17(ChunkParserI)
        1    0.000    0.000    0.000    0.000 api.py:182(BaseTheoremToolCommand)
        1    0.000    0.000    0.002    0.002 api.py:19(<module>)
        1    0.000    0.000    0.000    0.000 api.py:20(<module>)
        1    0.000    0.000    0.000    0.000 api.py:20(TokenizerI)
        1    0.000    0.000    0.000    0.000 api.py:23(TaggerI)
        1    0.000    0.000    0.000    0.000 api.py:238(CategorizedCorpusReader)
        1    0.000    0.000    0.000    0.000 api.py:250(PrimitiveCategory)
       42    0.000    0.000    0.000    0.000 api.py:257(__init__)
        1    0.000    0.000    0.000    0.000 api.py:259(BaseProverCommand)
        1    0.000    0.000    0.000    0.000 api.py:26(CorpusReader)
        1    0.000    0.000    0.000    0.000 api.py:27(ClassifierI)
        1    0.000    0.000    0.000    0.000 api.py:28(Prover)
        1    0.000    0.000    0.000    0.000 api.py:281(PhraseTable)
        1    0.000    0.000    0.000    0.000 api.py:303(FunctionalCategory)
       18    0.000    0.000    0.000    0.000 api.py:310(__init__)
        1    0.000    0.000    0.000    0.000 api.py:312(BaseModelBuilderCommand)
        1    0.000    0.000    0.000    0.000 api.py:32(FeedForward)
        1    0.000    0.000    0.000    0.000 api.py:368(TheoremToolCommandDecorator)
        1    0.000    0.000    0.000    0.000 api.py:372(SyntaxCorpusReader)
        1    0.000    0.000    0.000    0.000 api.py:401(ProverCommandDecorator)
        1    0.000    0.000    0.000    0.000 api.py:448(ModelBuilderCommandDecorator)
        1    0.000    0.000    0.000    0.000 api.py:49(ModelBuilder)
        1    0.000    0.000    0.000    0.000 api.py:502(ParallelProverBuilder)
        1    0.000    0.000    0.000    0.000 api.py:539(ParallelProverBuilderCommand)
        1    0.000    0.000    0.000    0.000 api.py:578(TheoremToolThread)
        1    0.000    0.000    0.000    0.000 api.py:67(StringTokenizer)
        1    0.000    0.000    0.002    0.002 api.py:7(<module>)
       13    0.000    0.000    0.002    0.000 api.py:71(layerize)
        1    0.000    0.000    0.000    0.000 api.py:74(TheoremToolCommand)
        1    0.000    0.000    0.000    0.000 api.py:80(FeaturesetTaggerI)
        1    0.000    0.000    0.000    0.000 api.py:85(CCGVar)
        1    0.000    0.000    0.000    0.000 api.py:9(<module>)
        1    0.000    0.000    0.000    0.000 api.py:90(MultiClassifierI)
        1    0.000    0.000    0.000    0.000 api.py:94(__init__)
      239    0.000    0.000    0.000    0.000 api_implementation.py:133(Type)
        1    0.000    0.000    0.002    0.002 api_implementation.py:32(<module>)
        1    0.000    0.000    0.183    0.183 app.py:1(<module>)
        1    0.000    0.000    0.000    0.000 app.py:27(Sanic)
        1    0.000    0.000    0.003    0.003 approximate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 approximate.py:110(LSHForest)
        1    0.000    0.000    0.000    0.000 approximate.py:73(ProjectionToHashMixin)
        1    0.000    0.000    0.000    0.000 approximate.py:92(GaussianRandomProjectionHash)
        1    0.000    0.000    4.918    4.918 archival.py:3(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:273(ArpackError)
        1    0.000    0.000    0.000    0.000 arpack.py:282(ArpackNoConvergence)
        1    0.000    0.000    0.000    0.000 arpack.py:308(_ArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:378(_SymmetricArpackParams)
        1    0.000    0.000    0.000    0.000 arpack.py:596(_UnsymmetricArpackParams)
        1    0.002    0.002    0.006    0.006 arpack.py:7(<module>)
        1    0.000    0.000    0.000    0.000 arpack.py:900(SpLuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:923(LuInv)
        1    0.000    0.000    0.000    0.000 arpack.py:938(IterInv)
        1    0.000    0.000    0.000    0.000 arpack.py:968(IterOpInv)
        1    0.000    0.000    0.000    0.000 arraypad.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:368(_recursive_guard)
        1    0.000    0.000    0.000    0.000 arrayprint.py:378(decorating_function)
        1    0.000    0.000    0.004    0.004 arrayprint.py:5(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:602(FloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:711(IntegerFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:731(LongFloatFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:761(LongComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:772(ComplexFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:789(DatetimeFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:810(TimedeltaFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:837(SubArrayFormat)
        1    0.000    0.000    0.000    0.000 arrayprint.py:847(StructureFormat)
        1    0.000    0.000    0.000    0.000 arraysetops.py:27(<module>)
        1    0.000    0.000    0.000    0.000 arrayterator.py:20(Arrayterator)
        1    0.000    0.000    0.000    0.000 arrayterator.py:9(<module>)
        1    0.000    0.000    0.000    0.000 asgd.py:1(<module>)
        1    0.000    0.000    0.000    0.000 asgd.py:5(ASGD)
        1    0.000    0.000    0.001    0.001 association.py:12(<module>)
        1    0.000    0.000    0.000    0.000 association.py:159(BigramAssocMeasures)
        1    0.000    0.000    0.000    0.000 association.py:247(TrigramAssocMeasures)
        1    0.000    0.000    0.000    0.000 association.py:303(QuadgramAssocMeasures)
        1    0.000    0.000    0.000    0.000 association.py:389(ContingencyMeasures)
        1    0.000    0.000    0.000    0.000 association.py:44(NgramAssocMeasures)
