         936424 function calls (912869 primitive calls) in 7.781 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13542    0.058    0.000    0.149    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    13542    0.077    0.000    0.086    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     2586    0.015    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     1293    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:669(create_module)
   1293/2    0.014    0.000    7.778    3.889 <frozen importlib._bootstrap_external>:672(exec_module)
     1293    0.068    0.000    0.581    0.000 <frozen importlib._bootstrap_external>:743(get_code)
     5967    0.024    0.000    0.216    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     1294    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:800(__init__)
     1293    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
     1293    0.086    0.000    0.110    0.000 <frozen importlib._bootstrap_external>:830(get_data)
     1293    0.006    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     2161    0.014    0.000    0.143    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
   127/64    0.002    0.000    1.488    0.023 <frozen importlib._bootstrap_external>:919(create_module)
      127    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
     1981    0.007    0.000    0.146    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(_get_parent_path)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:980(_recalculate)
      180    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        2    0.000    0.000    0.004    0.002 <frozen importlib._bootstrap_external>:993(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
       19    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:4(cy_wrap)
        1    0.000    0.000    0.000    0.000 <string>:5(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:5(Anderson_ksampResult)
